X,Y,OCCUPANT_NAME,PHYSICAL_ADDRESS,CONTACT_PHONE,LOCALITY,BUSINESS_CATEGORY_DESCRIPTION,KEYWORDS,DATE_UPDATED,LATITUDE,LONGITUDE,DESCRIPTION,GEOCODING_METHOD_DESCRIPTION,HEALTH_AUTHORITY_NAME,HEALTH_SERVICE_DLVR_AREA_NAME,LOCAL_HEALTH_AREA_NAME,SEQUENCE_ID
-120.816361461036593,56.256043157254453,Fort St. John General Hospital & Peace Villa,"8407 112 Avenue , Fort St. John, BC, Peace River North, BC",250-262-5200,Peace River North,Hospitals,Northern Health Authority,2020-02-03T20:32:33.000Z,56.256037,-120.816344,Hospital,Air Photo,Northern Health Authority,Northeast,Fort St. John,45
-121.423911194337464,49.377259809683757,Fraser Canyon Hospital,"1275 7th Avenue, Hope, BC, Hope, BC",604-869-5656,Hope,Hospitals,Fraser Health Authority,2020-02-03T20:32:33.000Z,49.377254,-121.423896,Hospital,Air Photo,Fraser Health Authority,Fraser East,Hope,47
-122.499557485181271,52.981341832045693,G.R. Baker Memorial Hospital,"543 Front Street, Quesnel, BC, Quesnel, BC",250-985-5600,Quesnel,Hospitals,Northern Health Authority,2020-02-03T20:32:33.000Z,52.981336,-122.499541,Hospital,Air Photo,Northern Health Authority,Northern Interior,Quesnel,49
-116.966565921020731,51.297232429263282,Golden and District General Hospital,"835 - 9th Avenue South, Golden, BC, Golden, BC",250-344-5271,Golden,Hospitals,Interior Health Authority,2020-02-03T20:32:33.000Z,51.297226,-116.966551,Hospital,Air Photo,Interior Health Authority,East Kootenay,Golden,51
-132.070600536446875,53.254816378695587,Haida Gwaii Hospital and Health Centre - Xaayda Gwaay Ngaaysdll Naay,"3209 Oceanview Drive, Queen Charlotte, BC, Queen Charlotte, BC",250-559-4301,Queen Charlotte,Hospitals,Northern Health Authority,2020-02-03T20:32:33.000Z,53.2548118,-132.0705826,Hospital,Air Photo,Northern Health Authority,Northwest,Queen Charlotte,53
-116.033577507691291,50.506763489127437,Invermere and District Hospital,"850 - 10th Avenue, Invermere, BC, Invermere, BC",250-342-9201,Invermere,Hospitals,Interior Health Authority,2020-02-03T20:32:33.000Z,50.506757,-116.033563,Hospital,Air Photo,Interior Health Authority,East Kootenay,Invermere,55
-119.493037992960026,49.873427057025602,Kelowna General Hospital,"2268 Pandosy Street, Kelowna, BC, Central Okanagan, BC",250-862-4000,Central Okanagan,Hospitals,Interior Health Authority,2020-02-03T20:32:33.000Z,49.873421,-119.493023,Hospital,Air Photo,Interior Health Authority,Okanagan,Kelowna,57
-128.650118820568139,54.049076048311974,Kitimat General Hospital and Health Centre,"920 Lahakas Blvd South, Kitimat, BC, Kitimat, BC",250-632-2121,Kitimat,Hospitals,Northern Health Authority,2020-02-03T20:32:33.000Z,54.049071,-128.650101,Hospital,Air Photo,Northern Health Authority,Northwest,Kitimat,59
-117.70167645722519,49.103288213217169,Kootenay Boundary Regional Hospital,"1200 Hospital Bench, Trail, BC, Trail, BC",250-368-3311,Trail,Hospitals,Interior Health Authority,2020-02-03T20:32:33.000Z,49.103282,-117.701662,Hospital,Air Photo,Interior Health Authority,Kootenay Boundary,Trail,61
-117.284984480009513,49.495125284106187,Kootenay Lake Hospital,"3 View Street, Nelson, BC, Nelson, BC",250-352-3111,Nelson,Hospitals,Interior Health Authority,2020-02-03T20:32:33.000Z,49.495119,-117.28497,Hospital,Air Photo,Interior Health Authority,Kootenay Boundary,Nelson,63
-123.508688395233108,48.861858545406946,Lady Minto Gulf Islands Hospital,"135 Crofton Road, Saltspring Island, BC, Gulf Islands, BC",250-538-4800,Gulf Islands,Hospitals,Vancouver Island Health Authority,2020-02-03T20:32:33.000Z,48.861853,-123.508673,Hospital,Air Photo,Vancouver Island Health Authority,South Vancouver Island,Salt Spring Island,65
-122.61233621530981,49.095539959333152,Langley Memorial Hospital,"22051 Fraser Highway, Langley, BC, Langley, BC",604-534-4121,Langley,Hospitals,Fraser Health Authority,2020-02-03T20:32:33.000Z,49.0955343,-122.6123209,Hospital,Air Photo,Fraser Health Authority,Fraser South,Langley,67
-121.939247652656633,50.68939181078791,Lillooet Hospital and Health Centre,"951 Murray Street, Lillooet, BC, Lillooet, BC",250-256-4233,Lillooet,Hospitals,Interior Health Authority,2020-02-03T20:32:33.000Z,50.689386,-121.939232,Hospital,Air Photo,Interior Health Authority,Thompson Cariboo Shuswap,Lillooet,69
-123.068250448812648,49.321717617065659,Lions Gate Hospital,"231 E 15TH Street, North Vancouver, BC, North Vancouver, BC",604-988-3131,North Vancouver,Hospitals,Vancouver Coastal,2020-02-03T20:32:33.000Z,49.321712,-123.068235,Hospital,Air Photo,Vancouver Coastal,North Shore / Coast Garibaldi,North Vancouver,71
-123.100696486010008,55.33744582458057,MacKenzie and District Hospital,"45 Centennial Drive, MacKenzie, BC, Prince George, BC",250-997-3263,Prince George,Hospitals,Northern Health Authority,2020-02-03T20:32:33.000Z,55.33744,-123.100679,Hospital,Air Photo,Northern Health Authority,Northern Interior,MacKenzie,73
-120.161172081419636,53.30095453982355,McBride and District Hospital,"1136 5th Avenue, McBride, BC, Prince George, BC",250-569-2251,Prince George,Hospitals,Northern Health Authority,2020-02-03T20:32:33.000Z,53.3009484,-120.1611559,Hospital,Air Photo,Northern Health Authority,Northern Interior,McBride,75
-128.596062997134112,54.510375061658344,Mills Memorial Hospital,"4720 Haugland Avenue, Terrace, BC, Terrace, BC",250-635-2211,Terrace,Hospitals,Northern Health Authority,2020-02-03T20:32:33.000Z,54.51037,-128.596045,Hospital,Air Photo,Northern Health Authority,Northwest,Terrace,77
-122.331944080393967,49.135489093355176,Mission Memorial Hospital,"7324 Hurd Street, Mission, BC, Mission, BC",604-826-6261,Mission,Hospitals,Fraser Health Authority,2020-02-03T20:32:33.000Z,49.1354834,-122.3319288,Hospital,Air Photo,Fraser Health Authority,Fraser East,Mission,79
-123.096098436194268,49.257822611012998,Mount Saint Joseph Hospital,"3080 Prince Edward Street, Vancouver, BC, Midtown, BC",604-874-1141,Midtown,Hospitals,Vancouver Coastal,2020-02-03T20:32:33.000Z,49.257817,-123.096083,Hospital,Air Photo,Vancouver Coastal,Vancouver,Vancouver,81
-123.969970553521833,49.185156506623656,Nanaimo Regional General Hospital,"1200 Dufferin Crescent, Nanaimo, BC, Nanaimo, BC",250-755-7691,Nanaimo,Hospitals,Vancouver Island Health Authority,2020-02-03T20:32:33.000Z,49.185151,-123.969955,Hospital,Air Photo,Vancouver Island Health Authority,Central Vancouver Island,Nanaimo,83
-120.773084288096527,50.121859922108889,Nicola Valley Hospital and Health Centre,"3451 Voght Street, Merritt, BC, Merritt, BC",250-378-2242,Merritt,Hospitals,Interior Health Authority,2020-02-03T20:32:33.000Z,50.121854,-120.773069,Hospital,Air Photo,Interior Health Authority,Thompson Cariboo Shuswap,Merritt,85
-125.242647075714501,50.00876298760425,"North Island Hospital, Campbell River & District","375 2nd Avenue, Campbell River, BC, Campbell River, BC",250-850-2141,Campbell River,Hospitals,Vancouver Island Health Authority,2020-02-03T20:32:33.000Z,50.0087576,-125.2426311,Hospital,Air Photo,Vancouver Island Health Authority,North Vancouver Island,Campbell River,87
-123.749036599011362,49.475388544417115,St. Mary's Hospital (Sechelt),"5544 Sunshine Coast Hwy, Sechelt, BC, Sunshine Coast, BC",604-885-2224,Sunshine Coast,Hospitals,Vancouver Coastal,2020-02-03T20:32:33.000Z,49.475383,-123.749021,Hospital,Air Photo,Vancouver Coastal,North Shore / Coast Garibaldi,Sechelt,131
